source,target,weight,synapse_count
19409,14084,8,8
19449,18013,8,8
19449,20185,8,8
19451,13500,8,8
19463,10347,8,8
19463,11323,8,8
19661,11819,8,8
19678,18013,8,8
19678,23533,8,8
19690,11709,8,8
19690,12761,8,8
19718,11195,8,8
19718,24925,8,8
19833,10555,8,8
19833,10692,8,8
19833,21322,8,8
19833,23716,8,8
19839,10453,8,8
19839,11129,8,8
19848,11532,8,8
19848,13153,8,8
19897,17715,8,8
20012,11357,8,8
20018,15660,8,8
20018,16512,8,8
20018,18700,8,8
20018,25146,8,8
20018,27321,8,8
20031,14588,8,8
20031,21885,8,8
20041,14461,8,8
20092,13153,8,8
20114,10126,8,8
20116,10764,8,8
20181,12596,8,8
20185,10170,8,8
20185,18013,8,8
20185,18720,8,8
20185,21900,8,8
20199,12481,8,8
20253,20484,8,8
20285,11879,8,8
20285,17415,8,8
20371,20484,8,8
20371,23340,8,8
20371,49582,8,8
20391,13920,8,8
20401,17093,8,8
20401,18513,8,8
20407,10782,8,8
20420,157030,8,8
20441,10652,8,8
20504,10707,8,8
20532,23839,8,8
20645,11822,8,8
20645,22272,8,8
20646,21588,8,8
20654,155633,8,8
20680,13073,8,8
20680,37455,8,8
20680,158754,8,8
20683,10073,8,8
20694,11415,8,8
20727,16901,8,8
20751,20443,8,8
20751,166047,8,8
20781,11134,8,8
20839,18091,8,8
20839,28585,8,8
20839,162783,8,8
20858,20860,8,8
20898,13683,8,8
20898,29789,8,8
20898,155684,8,8
20962,17201,8,8
20962,20804,8,8
20968,14389,8,8
20968,26796,8,8
21175,10722,8,8
21189,10692,8,8
21189,10722,8,8
21311,24149,8,8
21322,10604,8,8
21322,10722,8,8
21322,23716,8,8
21334,12281,8,8
21335,10274,8,8
21368,15660,8,8
21368,18720,8,8
21373,17546,8,8
21373,20335,8,8
21373,21944,8,8
21471,10939,8,8
21471,16295,8,8
21507,10320,8,8
21507,16097,8,8
21507,20968,8,8
21507,100492,8,8
21519,10690,8,8
21519,14811,8,8
21588,10242,8,8
21588,11657,8,8
21605,12573,8,8
21605,13812,8,8
21605,16622,8,8
21605,20860,8,8
21628,14004,8,8
21628,17742,8,8
21628,101218,8,8
21637,11059,8,8
21719,17392,8,8
21782,10297,8,8
21782,11030,8,8
21808,10555,8,8
21808,10599,8,8
21821,20370,8,8
21866,17757,8,8
21897,11514,8,8
21897,18700,8,8
21900,21628,8,8
21900,25897,8,8
21900,100541,8,8
21915,10134,8,8
21915,11506,8,8
21915,11865,8,8
21915,18501,8,8
21944,156857,8,8
21958,15250,8,8
22004,22354,8,8
22006,10523,8,8
22006,10652,8,8
22173,10227,8,8
22210,27427,8,8
22218,10461,8,8
22273,13803,8,8
22349,24883,8,8
22391,13283,8,8
22397,15789,8,8
22417,23328,8,8
22469,13353,8,8
22469,13497,8,8
22538,164741,8,8
22546,12050,8,8
22576,159900,8,8
22597,12098,8,8
22597,159959,8,8
22780,10547,8,8
22780,11507,8,8
22780,13746,8,8
22780,155099,8,8
22834,14012,8,8
22834,17093,8,8
22834,22967,8,8
22858,10415,8,8
22858,11340,8,8
22896,11195,8,8
22919,10691,8,8
22939,11323,8,8
22960,22469,8,8
22967,12591,8,8
22967,17093,8,8
22967,18680,8,8
22985,10534,8,8
22985,155644,8,8
22994,10171,8,8
22994,10329,8,8
22994,12159,8,8
22994,22096,8,8
23005,10620,8,8
23042,12761,8,8
23054,11471,8,8
23054,16097,8,8
23100,21020,8,8
23106,22597,8,8
23158,14536,8,8
23164,21620,8,8
23164,22328,8,8
23164,28551,8,8
23166,11423,8,8
23190,10407,8,8
23190,10504,8,8
23199,20092,8,8
23199,24257,8,8
23240,14389,8,8
23251,21247,8,8
23266,10722,8,8
23312,10123,8,8
23316,10170,8,8
23316,10668,8,8
23316,13738,8,8
23340,18700,8,8
23340,38332,8,8
23363,11749,8,8
23363,16552,8,8
23371,10198,8,8
23371,15286,8,8
23393,10065,8,8
23393,11110,8,8
23450,10793,8,8
23482,16824,8,8
23500,10662,8,8
23500,10890,8,8
23500,11809,8,8
23500,13331,8,8
23500,163342,8,8
23513,101194,8,8
23561,10366,8,8
23561,12312,8,8
23561,15062,8,8
23573,14533,8,8
23573,16512,8,8
23580,14004,8,8
23580,24154,8,8
23630,11100,8,8
23630,11195,8,8
23630,11316,8,8
23641,10811,8,8
23641,17632,8,8
23671,25836,8,8
23716,10692,8,8
23716,21808,8,8
23722,15562,8,8
23742,10747,8,8
23777,11133,8,8
23811,16512,8,8
23811,23580,8,8
23811,24154,8,8
23811,26903,8,8
23811,155684,8,8
23839,22469,8,8
23839,28122,8,8
23849,14413,8,8
23849,17433,8,8
23849,155077,8,8
23849,158132,8,8
23924,18286,8,8
23954,10200,8,8
23954,10468,8,8
23954,13738,8,8
24076,10620,8,8
24076,12068,8,8
24094,11472,8,8
24121,10192,8,8
24121,12096,8,8
24126,10072,8,8
24128,14230,8,8
24152,10213,8,8
24181,10826,8,8
24181,19833,8,8
24181,155853,8,8
24197,21915,8,8
24202,10728,8,8
24202,21718,8,8
24202,22774,8,8
24217,12113,8,8
24281,15702,8,8
24339,27195,8,8
24382,10192,8,8
24382,11747,8,8
24382,19091,8,8
24447,100139,8,8
24453,15913,8,8
24453,16622,8,8
24453,25585,8,8
24453,157414,8,8
24539,12399,8,8
24539,14707,8,8
24578,10523,8,8
24578,10640,8,8
24578,20080,8,8
24603,11509,8,8
24883,10461,8,8
24883,11530,8,8
24883,19206,8,8
24925,11472,8,8
24925,14536,8,8
24925,23158,8,8
24925,37234,8,8
25052,11976,8,8
25052,25767,8,8
25064,11646,8,8
25064,14230,8,8
25192,18700,8,8
25239,12928,8,8
25344,21241,8,8
25422,10123,8,8
25532,10171,8,8
25532,10200,8,8
25532,10329,8,8
25532,27891,8,8
25533,13784,8,8
25533,17091,8,8
25533,154383,8,8
25585,14413,8,8
25585,20371,8,8
25588,10771,8,8
25588,20175,8,8
25671,17075,8,8
25684,14945,8,8
25690,153756,8,8
25694,11224,8,8
25694,14413,8,8
25694,16025,8,8
25750,159203,8,8
25848,10468,8,8
25848,11224,8,8
25848,11262,8,8
25848,14884,8,8
25848,26819,8,8
25848,31679,8,8
25995,45116,8,8
26036,15452,8,8
26039,14012,8,8
26039,17284,8,8
26039,17471,8,8
26039,28551,8,8
26083,21471,8,8
26083,154383,8,8
26114,12903,8,8
26137,20175,8,8
26137,20478,8,8
26137,22740,8,8
26137,166047,8,8
26177,21637,8,8
26230,15452,8,8
26230,16328,8,8
26231,10073,8,8
26231,14532,8,8
26231,15697,8,8
26233,166047,8,8
26238,10968,8,8
26238,26282,8,8
26238,27472,8,8
26282,12474,8,8
26301,10528,8,8
26304,10468,8,8
26304,10571,8,8
26304,100167,8,8
26358,10428,8,8
26358,14884,8,8
26365,13884,8,8
26377,11182,8,8
26377,27092,8,8
26387,13683,8,8
26462,11560,8,8
26556,10890,8,8
26556,16458,8,8
26594,18373,8,8
26626,11026,8,8
26626,49582,8,8
26712,11747,8,8
26733,162543,8,8
26743,19454,8,8
26743,27665,8,8
26743,49582,8,8
26757,13543,8,8
26757,17632,8,8
26757,26238,8,8
26784,165340,8,8
26792,10481,8,8
26792,10571,8,8
26792,15862,8,8
26792,20185,8,8
26792,25588,8,8
26792,28238,8,8
26792,157414,8,8
27002,15286,8,8
27002,28219,8,8
27021,15034,8,8
27021,18451,8,8
27021,29014,8,8
27023,10183,8,8
27023,21605,8,8
27023,23166,8,8
27029,152642,8,8
27092,13612,8,8
27119,15078,8,8
27119,25192,8,8
27119,26626,8,8
27119,28915,8,8
27145,164835,8,8
27150,24141,8,8
27275,10372,8,8
27300,10453,8,8
27411,13333,8,8
27427,158008,8,8
27440,163638,8,8
27472,12474,8,8
27472,21649,8,8
27485,20484,8,8
27485,158754,8,8
27532,12050,8,8
27552,166778,8,8
27560,15702,8,8
27560,19678,8,8
27560,20018,8,8
27560,20199,8,8
27560,49582,8,8
27610,17498,8,8
27665,14012,8,8
27665,20645,8,8
27665,21628,8,8
27703,25261,8,8
27703,100643,8,8
27779,10198,8,8
27779,10883,8,8
27809,10474,8,8
27809,22546,8,8
27809,27752,8,8
27882,28943,8,8
27891,25897,8,8
27891,152857,8,8
27982,10372,8,8
27982,17632,8,8
28122,15910,8,8
28122,102391,8,8
28224,15609,8,8
28224,25192,8,8
28224,32044,8,8
28228,14314,8,8
28228,23312,8,8
28228,156960,8,8
28238,17284,8,8
28339,21718,8,8
28368,23641,8,8
28396,10571,8,8
28396,10825,8,8
28396,16801,8,8
28572,11224,8,8
28572,12591,8,8
28572,19351,8,8
28585,13109,8,8
28620,154996,8,8
28627,26743,8,8
28716,11134,8,8
28743,12711,8,8
28743,19884,8,8
28743,23199,8,8
28786,14454,8,8
28786,33512,8,8
28833,23839,8,8
28889,16241,8,8
28889,101219,8,8
28915,12903,8,8
28915,19675,8,8
28915,22576,8,8
28943,17601,8,8
28943,159685,8,8
29000,14012,8,8
29014,12761,8,8
29446,11289,8,8
29516,17607,8,8
29789,26792,8,8
29817,14884,8,8
29902,19449,8,8
29902,20371,8,8
29902,28572,8,8
30260,18335,8,8
30487,14004,8,8
30487,28684,8,8
30809,19678,8,8
30809,20683,8,8
30809,21560,8,8
30809,153910,8,8
30951,21057,8,8
31215,100541,8,8
31398,153910,8,8
31445,165340,8,8
31630,10232,8,8
31630,12790,8,8
31679,16122,8,8
31679,20199,8,8
31679,21560,8,8
32231,12903,8,8
32231,14884,8,8
32539,12250,8,8
32829,18938,8,8
33168,13738,8,8
33168,16067,8,8
33512,12880,8,8
33512,16824,8,8
34021,157407,8,8
34313,10984,8,8
34313,15262,8,8
34313,17103,8,8
35109,19884,8,8
36930,13312,8,8
37234,12790,8,8
37234,28977,8,8
37443,25684,8,8
38332,22834,8,8
39733,16209,8,8
42242,166520,8,8
45116,21873,8,8
45669,12481,8,8
76087,11213,8,8
76087,12818,8,8
76087,19372,8,8
76087,22545,8,8
100139,10445,8,8
100167,18700,8,8
100306,11562,8,8
100306,153102,8,8
100492,11780,8,8
100492,21588,8,8
100492,24218,8,8
100554,10679,8,8
100554,11744,8,8
100554,11780,8,8
100554,14954,8,8
100563,10445,8,8
100855,10125,8,8
101025,18611,8,8
101025,33610,8,8
101116,10116,8,8
101116,11530,8,8
101116,17930,8,8
101119,10186,8,8
101119,10547,8,8
101336,12591,8,8
101336,13306,8,8
101414,10242,8,8
101414,10340,8,8
101414,16632,8,8
101414,24975,8,8
101414,26566,8,8
102062,10073,8,8
102062,13306,8,8
102062,20645,8,8
102391,10073,8,8
102391,10510,8,8
102430,22580,8,8
102493,11415,8,8
102493,12567,8,8
102601,11891,8,8
102868,10707,8,8
102868,162543,8,8
102924,28219,8,8
103220,15845,8,8
152324,23582,8,8
152324,25146,8,8
152324,26944,8,8
152324,28620,8,8
152324,164554,8,8
152391,11182,8,8
152391,14884,8,8
152857,27665,8,8
153102,11704,8,8
153509,12481,8,8
153759,11602,8,8
153759,12645,8,8
153910,14314,8,8
153943,11935,8,8
153943,15357,8,8
154304,13635,8,8
154312,13612,8,8
154460,14824,8,8
154460,18963,8,8
154903,10186,8,8
154996,13738,8,8
154996,18720,8,8
155077,16512,8,8
155077,49582,8,8
155099,100855,8,8
155115,159762,8,8
155654,10099,8,8
155654,12260,8,8
155654,12901,8,8
155654,34905,8,8
155684,15697,8,8
155684,17285,8,8
155684,20683,8,8
155684,25897,8,8
155684,100541,8,8
155685,17715,8,8
155809,13905,8,8
155809,14389,8,8
156166,10171,8,8
156928,12338,8,8
157260,19396,8,8
157260,23042,8,8
157260,165560,8,8
157409,18412,8,8
157409,26566,8,8
157414,10510,8,8
158008,10427,8,8
158008,28252,8,8
158109,15753,8,8
158109,166486,8,8
158132,10468,8,8
158132,14884,8,8
158132,25532,8,8
158191,17715,8,8
158191,22328,8,8
158191,29516,8,8
158242,13950,8,8
158242,33512,8,8
158479,14004,8,8
158479,19678,8,8
158754,14454,8,8
158754,37455,8,8
159203,24975,8,8
159685,27029,8,8
159900,19884,8,8
162396,10366,8,8
162396,25192,8,8
162396,159900,8,8
162539,10242,8,8
162539,10722,8,8
162539,11006,8,8
162539,15321,8,8
162539,17133,8,8
162543,10884,8,8
162543,11925,8,8
163638,10974,8,8
163791,101116,8,8
164042,12236,8,8
164835,12113,8,8
165061,17188,8,8
165339,10468,8,8
165339,12159,8,8
165339,28627,8,8
166392,13904,8,8
166778,13884,8,8
166778,14355,8,8
171761,10599,8,8
173560,20860,8,8
174571,10884,8,8
174571,12708,8,8
174571,23393,8,8
174571,162539,8,8
174978,16035,8,8
186215,10332,8,8
186215,12096,8,8
186215,29689,8,8
10059,11420,9,9
10059,15562,9,9
10059,28398,9,9
10065,10051,9,9
10065,10232,9,9
10065,11420,9,9
10065,15115,9,9
10072,10461,9,9
10099,18399,9,9
10099,24698,9,9
10099,102954,9,9
10107,10205,9,9
10107,10939,9,9
10107,11258,9,9
10107,11375,9,9
10107,14874,9,9
10107,18501,9,9
10107,19833,9,9
10107,153335,9,9
10116,219796,9,9
10118,10690,9,9
10118,10994,9,9
10118,12187,9,9
10118,14259,9,9
10118,15286,9,9
10118,17483,9,9
10118,18341,9,9
10118,21466,9,9
10118,30545,9,9
10126,10065,9,9
10126,10460,9,9
10126,10939,9,9
10126,11445,9,9
10126,11605,9,9
10126,11717,9,9
10126,11809,9,9
10126,14011,9,9
10126,16176,9,9
10126,16910,9,9
10134,11602,9,9
10147,10183,9,9
10147,29431,9,9
10153,10262,9,9
10153,10883,9,9
10153,13006,9,9
10153,13949,9,9
10154,10554,9,9
10154,14079,9,9
10154,16901,9,9
10156,10126,9,9
10156,15105,9,9
10169,13293,9,9
10169,154133,9,9
10186,12769,9,9
10192,11609,9,9
10192,12068,9,9
10192,18579,9,9
10198,13477,9,9
10198,17498,9,9
10198,153102,9,9
10203,10453,9,9
10203,10662,9,9
10203,10682,9,9
10203,17498,9,9
10203,18900,9,9
10205,10568,9,9
10206,20650,9,9
10213,11936,9,9
10213,14811,9,9
10213,16721,9,9
10213,18983,9,9
10217,10268,9,9
10217,10794,9,9
10217,10984,9,9
10217,12678,9,9
10217,14650,9,9
10217,20694,9,9
10229,11411,9,9
10229,11506,9,9
10229,30470,9,9
10231,10920,9,9
10231,14555,9,9
10231,16290,9,9
10232,11006,9,9
10235,10690,9,9
10235,11069,9,9
10235,18860,9,9
10236,13904,9,9
10237,11925,9,9
10237,19796,9,9
10242,11955,9,9
10244,30625,9,9
10265,11631,9,9
10265,11927,9,9
10265,12483,9,9
10265,16987,9,9
10268,12567,9,9
10268,13464,9,9
10274,11782,9,9
10274,20673,9,9
10274,22210,9,9
10297,10571,9,9
10297,12096,9,9
10297,21808,9,9
10320,10826,9,9
10320,17176,9,9
10320,21588,9,9
10332,10242,9,9
10332,10692,9,9
10340,11264,9,9
10340,21120,9,9
10342,13782,9,9
10342,25475,9,9
10354,10562,9,9
10354,16254,9,9
10354,19048,9,9
10380,21466,9,9
10380,22899,9,9
10384,13434,9,9
10384,20593,9,9
10388,30306,9,9
10388,167442,9,9
10412,13115,9,9
10415,13949,9,9
10427,11976,9,9
10427,102493,9,9
10428,12088,9,9
10428,12452,9,9
10428,13013,9,9
10428,14295,9,9
10431,13081,9,9
10463,10673,9,9
10463,11288,9,9
10463,102601,9,9
10468,10011,9,9
10471,11319,9,9
10474,10144,9,9
10474,12412,9,9
10474,12474,9,9
10481,158191,9,9
10498,14443,9,9
10504,18900,9,9
10513,19613,9,9
10513,26282,9,9
10534,14596,9,9
10534,18900,9,9
10547,11288,9,9
10554,10217,9,9
10554,10646,9,9
10554,12028,9,9
10554,13081,9,9
10554,18335,9,9
10554,27982,9,9
10554,154903,9,9
10555,22173,9,9
10558,10184,9,9
10558,15066,9,9
10558,15753,9,9
10559,10652,9,9
10562,10213,9,9
10562,10630,9,9
10562,12567,9,9
