node_id,cell_type,region,x,y,z,side,cell_class,predicted_nt,coordinate_field
10011,hg1 MN,VNC,0.4785275882965334,0.17211492145376572,-0.5818900818869742,R,motor neuron,glutamate,position
10051,IN09A007,VNC,-0.7577466320679958,-1.4129325481299626,0.7175241232499961,L,intrinsic neuron,gaba,position
10059,nan,VNC,0.6598629519710366,0.8150737293534503,0.21808350296005097,R,intrinsic neuron,gaba,position
10065,nan,VNC,-0.6353419208477711,0.8228910608014668,0.585832155010333,L,intrinsic neuron,gaba,position
10067,b3 MN,VNC,0.5742731948350607,0.1941638050250944,-0.48895069689388876,R,motor neuron,glutamate,position
10072,IN17A001,VNC,0.7413101915875507,0.44638967012135433,0.45280389079664995,R,intrinsic neuron,acetylcholine,position
10073,IN03B002,VNC,0.057727986077660554,-0.027527697064810355,0.7830026259769722,L,intrinsic neuron,glutamate,position
10099,IN10B001,VNC,0.12420871078515158,0.19797224855105117,-0.17184766225896173,R,intrinsic neuron,acetylcholine,position
10105,IN03B002,VNC,0.057727986077660554,0.015367403701229082,0.7416442655810557,R,intrinsic neuron,acetylcholine,position
10107,DNxl041,descending,-0.33888465901145176,1.923798498997778,-0.24340631166772844,L,descending neuron,gaba,position
10110,TTMn,VNC,0.718593160029212,0.08164768401261713,-0.401222866199481,R,motor neuron,glutamate,position
10116,IN13B001,VNC,0.028730363441428285,-0.16436440480445016,-0.5426029802507886,L,intrinsic neuron,gaba,position
10118,DNa02,descending,0.15434218499930077,1.923798498997778,-0.3987507186475442,R,descending neuron,acetylcholine,position
10123,hg1 MN,VNC,-0.7336264897369361,0.03454325092841493,-0.10757182590860358,L,motor neuron,glutamate,position
10125,IN19A003,VNC,0.701956275152664,-0.2542303090572898,0.3420917693490996,R,intrinsic neuron,gaba,position
10126,DNa02,descending,-0.22022157651848284,1.923798498997778,-0.2277716487716954,L,descending neuron,acetylcholine,position
10133,IN19A002,VNC,-0.4404431530369657,-1.8124850443619187,1.3348928632471992,L,intrinsic neuron,gaba,position
10134,IN19A003,VNC,0.5140062464067623,-1.8032646021411813,1.0612862625666206,R,intrinsic neuron,gaba,position
